id,category,country,created_at,description,location,manager_id,status,title,updated_at
...,ROOMS,India,"2026-09-25 00:42:25.349954","This delightfully designed room, is located in the heart of Bhubaneshwar. Soul Route Airbnb is a stylishly curated home away from home and it offers a perfect respite from the bustling & hot city of Bhubaneshwar.","Jayadev Vihar, Bhubaneswar, Odisha, India",...,PUBLISHED,"Soul Route - Room 2","2026-09-25 00:42:25.349954"
...,DOMES,India,"2026-09-25 00:42:25.355043","Visiting our geodesic dome resort in the Lansdowne Hills offers a unique blend of tranquility and adventure. Nestled in serene natural surroundings, the domes provide panoramic views of lush landscapes, perfect for a peaceful retreat. "," Lansdowne, Uttarakhand, India",...,PUBLISHED,"Bastiat Stays| GeoVista Dome","2026-09-25 00:42:25.355043"
...,TRENDING,India,"2026-09-25 00:42:25.360050","Discover comfort and style at Royal Retreat, a beautifully designed 3-bedroom, 2-bathroom home located in a prime area of Guwahati. Each room is thoughtfully decorated with modern furnishings, offering a cozy and elegant retreat.","Guwahati, Assam, India",...,PUBLISHED,"Royal Retreat (3bhk)","2026-09-25 00:42:25.360050"
...,ROOMS,India,"2026-09-25 00:42:25.366680","This place is tastefully designed with the best interiors and all the modern premium furnishings to enhance your stay.","Puri, Odisha, India",...,PUBLISHED,"Simple and cozy KaFi Luxe Suite : Unwind Yourself","2026-09-25 00:42:25.366680"
...,ROOMS,Spain,"2026-09-25 00:42:25.371682","An ensuite double bedroom in a spacious, comfortable flat, conveniently located on a quiet square by Dalston Junction station.","Sant Josep de sa Talaia, Spain",...,PUBLISHED,"Master Bedroom in luxury apt w/gym,pool & seaview","2026-09-25 00:42:25.371682"
...,ICONIC_CITIES,"United Kingdom","2026-09-25 00:42:25.377283","Entire rental unit in Greater London, United Kingdom","Greater London, United Kingdom",...,PUBLISHED,"S8 - Comfy Apartment in the heart of Hyde Park","2026-09-25 00:42:25.377283"
...,ICONIC_CITIES,"United Arab Emirates","2026-09-25 00:42:25.381281","Welcome at Skyview Hostel, situated in Dubai Marina's prime spot, offering breathtaking views of Top Golf, the Palm, and the entire Dubai skyline.","Dubai, United Arab Emirates",...,PUBLISHED,"1 bed in 10 Beds Mixed Dorm, Next'House - Skyview","2026-09-25 00:42:25.381281"
...,FARMS,Sweden,"2026-09-25 00:42:25.386974","Stay in the old limestone barn on the farm Fröjel Stenstugu.","Fröjel, Sweden",...,PUBLISHED,"Beautiful accommodation in Gotland.","2026-09-25 00:42:25.386974"
...,DOMES,India,"2026-09-25 00:42:25.392979","Himalayan Ridge Glamping Domes is a perfect destination for people who are seeking out unique & less crowded destinations.","Jana, Himachal Pradesh, India",...,PUBLISHED,"HimalayanRidge : LuxDome w/ Deck","2026-09-25 00:42:25.392979"
...,BOATS,Indonesia,"2026-09-25 00:42:25.398226","Welcome aboard this authentic wooden pirate ship, the Bulan Purnama, as ye embark on a swashbuckling adventure in the Komodo Islands","Kecamatan Komodo, Indonesia",...,PUBLISHED,"Vintage Boutique Phinisi Liveaboard Komodo Cruises","2026-09-25 00:42:25.398226"
...,TRENDING,India,"2026-09-25 00:42:25.403756","English style cottage, situated close to highway yet peaceful with small in-house Organic farm, ample parking, green area and pet friendly. ","Manali, Himachal Pradesh, India",...,PUBLISHED,"Cedar Manor, The English Cottage","2026-09-25 00:42:25.404902"
...,TRENDING,Ireland,"2026-09-25 00:42:25.408902","Tig Micheál Bán is a lovingly renovated traditional Irish farmhouse with views of the picturesque Mealagh Valley and Kerry Mountains.","Bantry, Ireland",...,PUBLISHED,"Tig Michael White","2026-09-25 00:42:25.408902"
...,MOUNTAINS,India,"2026-09-25 00:42:25.413622","Welcome to this luxurious and spacious getaway located in a peaceful , close to nature yet filled with luxury stay that goes by the name of The Cullinan House ,Cullinan cause its the rarest diamond.","Nainital, Uttarakhand, India",...,PUBLISHED,"The Cullinan House - “The Hope”","2026-09-25 00:42:25.413622"
...,FARMS,Australia,"2026-09-25 00:42:25.420140","Find the best of rustic luxury at my newbuilt orchard farmstay,nestled amongst the plum and gum trees of the Perth Hills.","Carmel, Australia",...,PUBLISHED,"Luxury rustic farmstay in the gum and plum trees","2026-09-25 00:42:25.420140"
...,ARCTIC,Norway,"2026-09-25 00:42:25.425183","Enjoy the view from the dining table overlooking the bay. Immediate access to nature, hikes and the sea.","Andopsveien 39, Norway",...,PUBLISHED,"Bedroom in seafront home, quiet & beautiful place","2026-09-25 00:42:25.425183"
...,DOMES,India,"2026-09-25 00:42:25.430182","Our Domes is your rare find which are on high elevation of this Kullu district.","Jibhi, Himachal Pradesh, India",...,PUBLISHED,"Luxury dome at 7800 feet !","2026-09-25 00:42:25.430182"
...,BOATS,Thailand,"2026-09-25 00:42:25.435721","Experience the freedom of a sailing holiday afloat on your own private super yacht in Pattaya. The Lady “Cachée” is spacious and comfortable for all guests onboard. ","Sattahip, Thailand",...,PUBLISHED,"Broward USA 110 Ft Superyacht Cachée","2026-09-25 00:42:25.435721"
